"ID","LIMIT_BAL","SEX","EDUCATION","MARRIAGE","AGE","PAY_2","PAY_3","PAY_4","PAY_5","PAY_6","BILL_AMT1","BILL_AMT2","BILL_AMT3","BILL_AMT4","BILL_AMT5","BILL_AMT6","PAY_AMT1","PAY_AMT2","PAY_AMT3","PAY_AMT4","PAY_AMT5","PAY_AMT6","default.payment.next.month","DEFAULT","AVG_UTILIZATION_RATE","OVERSPENDER","TOTAL_EXCESS_BALANCE"
9120,50000,"Male","University","Single",40,1,-1,-1,0,0,50209,-2522,409,29148,30270,22814,0,2931,30000,5270,2814,3089,0,"No Default Next Month",0.320476,"FALSE",-42797
8491,10000,"Male","High School","Single",21,0,2,0,0,0,4797,6457,6154,6154,6280,0,2400,0,0,126,0,0,0,"No Default Next Month",0.5009,"FALSE",-5016.2
24894,260000,"Male","Graduate School","Married",39,0,0,0,0,0,5992,7000,8024,9185,9384,9426,1116,1140,1301,500,341,343,0,"No Default Next Month",0.0330915384615385,"FALSE",-252121.2
9782,30000,"Male","Graduate School","Single",34,2,2,2,2,0,21107,24117,24424,24627,24093,24785,3374,1000,900,0,1094,1000,1,"Defaults Next Month",0.81364,"FALSE",-6389.6
20782,240000,"Male","High School","Married",33,0,0,2,0,0,64853,67948,197032,169878,164926,160600,8000,157500,0,5759,5775,6407,0,"No Default Next Month",0.633653333333333,"FALSE",-123011.4
12624,290000,"Male","High School","Married",47,-1,-2,-2,-2,-2,1200,0,0,0,0,0,0,0,0,0,0,4634,0,"No Default Next Month",0,"FALSE",-290926.8
296,200000,"Male","Graduate School","Single",31,0,0,0,0,0,194353,197344,186292,133345,133634,133990,9000,7465,4715,4804,5141,5300,0,"No Default Next Month",0.784605,"FALSE",-48564
2445,50000,"Male","University","Married",54,0,0,2,0,0,47872,48802,50214,19321,19867,20384,2000,2456,0,1000,1000,1000,0,"No Default Next Month",0.634352,"FALSE",-19373.6
11659,60000,"Male","University","Single",26,2,0,0,0,0,61014,59473,56912,47513,42945,45648,0,2100,1500,1700,3500,1341,1,"Defaults Next Month",0.841636666666667,"FALSE",-11530
9464,120000,"Male","University","Single",35,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Default Next Month",0,"FALSE",-120000
714,170000,"Male","University","Married",42,-1,-1,-2,-2,-1,0,1690,0,0,0,4750,1690,0,0,0,4750,0,0,"No Default Next Month",0.00757647058823529,"FALSE",-169662
26772,180000,"Male","Graduate School","Married",30,1,-2,-2,-2,-2,143900,0,0,0,0,0,10000,0,0,0,0,0,0,"No Default Next Month",0,"FALSE",-180000
606,50000,"Male","Graduate School","Single",34,2,2,2,2,2,22746,22099,24121,23437,25101,24549,0,2700,0,2200,0,1030,0,"No Default Next Month",0.477228,"FALSE",-27324.6
156,140000,"Male","Graduate School","Married",34,0,0,0,0,0,23944,28049,32073,43129,47086,48699,5000,5000,11885,5000,3000,5504,0,"No Default Next Month",0.284337142857143,"FALSE",-106270.6
29825,40000,"Male","Graduate School","Married",47,2,2,2,2,2,10555,11084,12605,13102,12595,14386,1000,2000,1000,0,2000,0,1,"Defaults Next Month",0.31886,"FALSE",-28245.6
15509,50000,"Male","High School","Married",44,-1,-1,-1,-1,-1,1261,1261,0,1261,1261,1261,1261,0,2522,1261,1261,1432,0,"No Default Next Month",0.020176,"FALSE",-50286.4
18257,10000,"Male","High School","Married",54,3,2,2,2,2,7936,7662,8386,9069,9966,8410,0,1000,1000,1000,0,2000,1,"Defaults Next Month",0.86986,"FALSE",-2301.4
6671,320000,"Male","Graduate School","Single",26,0,0,0,0,-2,111710,12484,13917,12125,0,0,1267,1700,243,0,0,220000,0,"No Default Next Month",0.02407875,"FALSE",-356683.4
10670,50000,"Male","High School","Married",45,-1,2,-1,-1,-1,261,1305,1134,1073,1312,51,2305,0,1200,1500,0,0,0,"No Default Next Month",0.0195,"FALSE",-49565
2177,320000,"Male","University","Single",35,0,0,0,0,0,12233,16490,20011,17918,18627,19167,7000,4100,1000,1000,1000,1000,0,"No Default Next Month",0.057633125,"FALSE",-303177.4
9232,450000,"Male","Graduate School","Single",31,-1,-1,2,-1,0,757,1422,2469,1562,20030,9248,1422,2000,0,20030,1000,1000,0,"No Default Next Month",0.015436,"FALSE",-447859.8
1380,80000,"Male","High School","Single",26,2,2,2,2,2,71661,69947,74755,75732,74397,80138,0,6000,2800,0,7000,8,0,"No Default Next Month",0.9374225,"FALSE",-8167.8
8232,230000,"Male","University","Married",30,-1,-2,-1,-1,-1,5200,0,0,8780,11990,0,0,0,8780,11990,0,0,0,"No Default Next Month",0.0180608695652174,"FALSE",-230000
10257,100000,"Male","University","Married",41,0,0,0,2,2,100284,90952,92840,99296,101872,99555,3500,3400,8000,4300,0,1650,0,"No Default Next Month",0.96903,"FALSE",-6567
20760,130000,"Male","University","Married",33,-1,-1,-1,-1,-1,99,99,99,99,99,98,99,99,99,99,98,894,0,"No Default Next Month",0.00076,"FALSE",-130159
24652,150000,"Male","Graduate School","Married",36,-2,-2,-2,-2,-2,2750,2424,27498,1213,26636,2547,2424,27498,1213,26636,2704,1800,0,"No Default Next Month",0.080424,"FALSE",-149906.6
2318,50000,"Male","University","Married",46,0,0,0,0,0,44573,60540,15993,16327,16863,17282,2200,2600,600,800,700,700,0,"No Default Next Month",0.50802,"FALSE",-25679
5188,200000,"Male","Graduate School","Married",40,-2,-2,-2,-2,-2,-7,1765,5074,19268,5606,2534,1772,5099,19364,5634,2547,33300,0,"No Default Next Month",0.034247,"FALSE",-206339.4
14228,110000,"Male","University","Single",29,-1,-1,-1,-1,-1,10839,2995,2419,4219,9704,6952,2995,2419,4219,9704,6952,5038,0,"No Default Next Month",0.0477981818181818,"FALSE",-110408.6
3040,170000,"Male","Graduate School","Single",39,0,0,0,0,0,171160,187853,171095,137986,141319,139463,13000,6154,15000,6000,7000,5000,0,"No Default Next Month",0.91496,"FALSE",-22287.6
24073,60000,"Male","Graduate School","Single",27,0,-1,-1,0,0,20567,11937,1536,59038,54586,56375,4000,1536,59038,1300,3000,2000,0,"No Default Next Month",0.611573333333333,"FALSE",-36680.4
11123,50000,"Male","Graduate School","Single",30,2,2,0,0,0,7690,8805,9502,10189,10869,11533,1400,1000,1000,1000,1000,1000,0,"No Default Next Month",0.203592,"FALSE",-40820.4
11215,140000,"Male","Graduate School","Married",43,-1,-1,-1,-1,-1,1872,1249,1872,1453,1453,1034,1249,1872,1453,1453,1034,1872,0,"No Default Next Month",0.0100871428571429,"FALSE",-140124.6
29412,50000,"Male","High School","Married",31,1,-2,-2,-2,-2,43200,0,0,0,0,0,6000,0,0,0,0,0,0,"No Default Next Month",0,"FALSE",-50000
24638,420000,"Male","University","Single",30,0,0,0,0,0,122418,113122,89586,83713,55375,54291,4816,4128,3147,2018,3130,3006,0,"No Default Next Month",0.188612857142857,"FALSE",-343868.4
7017,230000,"Male","University","Single",31,0,0,0,0,0,14529,16597,18968,21435,27151,26815,5500,3000,4000,8000,4000,5000,1,"Defaults Next Month",0.0964921739130435,"FALSE",-212606.8
25042,180000,"Male","University","Married",63,0,0,0,0,0,47932,48922,50035,50749,51903,52991,2087,2200,1846,2000,1923,2000,0,"No Default Next Month",0.282888888888889,"FALSE",-131073.8
24429,120000,"Male","University","Single",37,2,0,0,0,0,21786,22126,23763,25059,25641,26228,1000,2000,2000,1000,1000,1000,0,"No Default Next Month",0.204695,"FALSE",-96836.6
9645,210000,"Male","University","Married",39,-1,-1,-1,-1,-1,1443,1443,1443,1443,1443,1443,1443,1443,1443,1443,1443,1443,0,"No Default Next Month",0.00687142857142857,"FALSE",-210000
27246,80000,"Male","Graduate School","Single",35,0,0,0,0,0,52132,52568,54108,55310,48198,43536,3000,3000,3000,2000,2000,2000,0,"No Default Next Month",0.6343,"FALSE",-31656
24880,310000,"Male","University","Married",40,0,0,0,0,0,12295,13440,30944,31594,30454,29246,2000,20000,2000,2000,2000,210759,0,"No Default Next Month",0.0875341935483871,"FALSE",-330216.2
29271,50000,"Male","High School","Single",26,0,0,-2,-2,-2,50419,40200,0,0,0,0,1000,0,0,0,0,0,1,"Defaults Next Month",0.1608,"FALSE",-41960
26602,50000,"Male","University","Single",24,0,0,0,0,0,5599,6696,7783,8843,9209,10070,1200,1200,1200,500,1000,500,0,"No Default Next Month",0.170404,"FALSE",-42359.8
24060,240000,"Male","University","Single",28,0,-2,-2,-1,-1,44996,-4,-4,-4,801,192850,0,0,0,805,192869,7012,0,"No Default Next Month",0.161365833333333,"FALSE",-241409.4
23892,20000,"Male","High School","Single",23,2,-1,-1,0,0,19901,19105,572,19206,18595,19135,0,572,20502,1000,840,705,0,"No Default Next Month",0.76613,"FALSE",-9401.2
16798,110000,"Male","University","Single",32,0,0,0,0,-2,42015,38897,29059,20799,-1961,-1961,1575,1377,1007,0,0,66296,0,"No Default Next Month",0.154241818181818,"FALSE",-106769.4
1862,10000,"Male","University","Single",35,6,5,4,3,2,8257,8001,7741,7481,7075,6815,0,0,0,0,0,700,1,"Defaults Next Month",0.74226,"FALSE",-2717.4
8033,50000,"Male","Graduate School","Single",29,2,2,2,2,0,53746,51631,50880,51034,46154,42852,0,5160,1753,0,1508,5000,1,"Defaults Next Month",0.970204,"FALSE",-4174
4203,200000,"Male","Graduate School","Single",29,0,0,0,0,2,1124,1206,1292,1778,2064,1000,1000,1000,1400,1200,0,1203,0,"No Default Next Month",0.00734,"FALSE",-199492.6
9459,100000,"Male","University","Single",29,0,0,0,0,0,70878,72753,58789,53091,55229,57144,3100,2640,2000,3000,3000,3000,1,"Defaults Next Month",0.594012,"FALSE",-43326.8
5552,20000,"Male","University","Married",40,2,2,0,0,0,15919,16939,16374,16604,16837,17357,1570,0,800,650,800,1000,0,"No Default Next Month",0.84111,"FALSE",-3827.8
10346,260000,"Male","University","Married",35,-1,-1,-1,-1,-1,228,340,352,364,376,388,500,400,400,400,400,284,0,"No Default Next Month",0.0014,"FALSE",-260012.8
4726,100000,"Male","University","Single",32,0,0,0,0,0,88550,91724,94799,97861,104634,92537,5000,5000,5000,9000,10000,5000,0,"No Default Next Month",0.96311,"FALSE",-10489
24036,210000,"Male","University","Single",27,-1,2,0,0,-2,0,628,232,1067,-27,-27,628,0,1000,0,0,0,0,"No Default Next Month",0.00178380952380952,"FALSE",-209825.4
11955,150000,"Male","University","Single",28,0,0,0,0,0,79426,71364,71219,56277,54231,55243,3003,2503,1880,1875,2666,1396,1,"Defaults Next Month",0.411112,"FALSE",-90397.2
26910,290000,"Male","Graduate School","Single",40,0,0,0,0,0,135527,134414,140607,131933,135606,132906,8000,10000,5000,6000,4700,5000,0,"No Default Next Month",0.465838620689655,"FALSE",-161046.8
21332,130000,"Male","University","Married",52,2,-1,-1,0,0,6954,4110,1030,357,357,370,12,1034,727,0,13,1330,0,"No Default Next Month",0.00957538461538462,"FALSE",-129376
6180,90000,"Male","High School","Single",29,0,0,0,0,0,83683,65192,46273,46979,48139,44432,4000,3000,1700,2000,1591,2647,0,"No Default Next Month",0.557811111111111,"FALSE",-41984.6
16492,50000,"Male","University","Single",22,0,2,0,0,0,51083,50043,98450,48689,19773,19931,3500,1000,2000,900,900,1000,0,"No Default Next Month",0.947544,"FALSE",-3782.8
29965,360000,"Male","Graduate School","Single",31,-1,-1,0,0,-1,735,51,20007,18498,18422,1842,51,20007,1590,1000,1842,390,0,"No Default Next Month",0.0326777777777778,"FALSE",-353201.8
27454,50000,"Male","University","Married",49,2,2,2,2,2,17371,17789,18209,18595,20323,19218,1000,1000,1000,2000,0,1000,1,"Defaults Next Month",0.376536,"FALSE",-32173.2
4576,50000,"Male","Other","Single",22,0,0,0,0,0,6514,7513,9981,10442,10496,10933,1500,3000,1000,600,1000,404,0,"No Default Next Month",0.19746,"FALSE",-41327.8
20893,550000,"Male","Graduate School","Single",35,2,2,2,2,0,539092,552234,565550,572805,823540,501370,23000,23000,18000,0,18373,18159,0,"No Default Next Month",1.09654509090909,"TRUE",37593.4
7552,200000,"Male","High School","Married",44,0,0,0,0,0,69106,70393,73220,74419,76078,77822,3000,4000,3000,3000,3000,3000,0,"No Default Next Month",0.371932,"FALSE",-128813.6
29244,50000,"Male","University","Single",25,0,0,0,-2,-2,43793,41739,20650,0,0,0,1651,1650,0,0,0,0,0,"No Default Next Month",0.249556,"FALSE",-37852.2
5239,380000,"Male","Graduate School","Married",32,0,0,0,0,0,53369,73954,35199,31136,28839,14584,30307,5044,5036,5081,2022,2026,0,"No Default Next Month",0.0966905263157895,"FALSE",-347099.4
215,470000,"Male","University","Single",27,2,2,2,0,0,296573,303320,307843,479978,305145,309959,13000,11001,0,10484,10838,10367,0,"No Default Next Month",0.72606170212766,"FALSE",-137289
500,20000,"Male","Graduate School","Married",38,0,0,2,2,0,15912,17272,20565,20705,20255,19933,1623,3916,750,0,800,850,0,"No Default Next Month",0.9873,"FALSE",-1517.2
10851,210000,"Male","University","Married",33,0,0,0,0,0,141571,138588,142343,69004,70596,69388,5000,6000,2270,2500,2472,2600,1,"Defaults Next Month",0.466589523809524,"FALSE",-115184.6
24062,120000,"Male","University","Single",27,0,0,0,0,0,29344,33474,29029,26523,20554,19348,5053,1789,2037,659,802,640,0,"No Default Next Month",0.21488,"FALSE",-95399.8
21159,180000,"Male","University","Single",39,0,0,0,0,0,119466,120491,124553,127096,128992,131660,4500,6000,6100,5500,4900,5500,0,"No Default Next Month",0.703102222222222,"FALSE",-59041.6
29718,50000,"Male","High School","Single",40,0,0,0,0,-1,46185,47570,38984,23566,21652,3612,3000,4022,3034,5000,3700,20775,1,"Defaults Next Month",0.541536,"FALSE",-30229.4
27539,240000,"Male","High School","Married",57,0,0,0,0,0,224736,230814,234047,164960,167934,171113,9573,7893,6151,5527,5708,5738,0,"No Default Next Month",0.80739,"FALSE",-52429.8
27120,230000,"Male","High School","Single",41,0,0,0,0,0,9552,11376,13185,14648,15419,15423,2000,2000,2000,1000,562,2000,1,"Defaults Next Month",0.0609139130434783,"FALSE",-217502.2
15466,160000,"Male","High School","Single",30,0,0,0,-2,-2,275241,280903,272419,0,0,0,8365,9368,0,0,0,0,0,"No Default Next Month",0.6916525,"FALSE",-51209.2
23900,20000,"Male","University","Single",23,0,0,2,2,-2,15021,17452,19853,19437,0,0,6000,3000,295,0,0,0,1,"Defaults Next Month",0.56742,"FALSE",-9310.6
20603,150000,"Male","University","Single",28,2,0,0,0,0,155963,148095,143845,132677,86265,88390,12,8000,5300,3500,5000,4000,0,"No Default Next Month",0.799029333333333,"FALSE",-35305.6
421,30000,"Male","Graduate School","Single",24,0,0,0,0,2,25265,26354,27710,27959,30002,29371,1500,1800,1007,2500,0,1800,0,"No Default Next Month",0.94264,"FALSE",-3142.2
11754,240000,"Male","Graduate School","Single",33,0,0,0,0,0,124105,127593,130474,134296,139117,143634,7000,5000,6000,7000,7000,5445,0,"No Default Next Month",0.562595,"FALSE",-111066.2
16914,50000,"Male","University","Single",60,0,0,0,0,0,51078,50649,36384,32913,9397,9755,2013,2505,2100,500,500,500,0,"No Default Next Month",0.556392,"FALSE",-23401.4
21162,90000,"Male","High School","Single",34,0,0,0,0,0,74012,76777,78594,39209,40057,40744,4600,4300,2700,1500,1400,2000,0,"No Default Next Month",0.611957777777778,"FALSE",-37303.8
10471,50000,"Male","High School","Single",26,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Default Next Month",0,"FALSE",-50000
12117,120000,"Male","High School","Married",46,-1,0,0,0,0,94953,116914,89799,89913,88484,90477,120656,3520,2931,3180,3432,1116,0,"No Default Next Month",0.792645,"FALSE",-27718.4
13000,20000,"Male","University","Married",40,-1,-1,-1,-1,-1,836,836,390,390,390,390,836,390,390,390,390,30500,1,"Defaults Next Month",0.02396,"FALSE",-25932.8
15698,130000,"Male","University","Married",33,0,0,0,0,0,39251,40772,40437,9919,10295,7964,2500,3200,1200,500,447,1000,0,"No Default Next Month",0.168287692307692,"FALSE",-109392
16567,20000,"Male","University","Single",29,2,2,2,2,2,11586,11103,13913,13393,18152,17725,0,3000,0,5000,0,3000,1,"Defaults Next Month",0.74286,"FALSE",-7342.8
21036,50000,"Male","Graduate School","Single",46,0,0,0,0,0,49386,49487,50401,49148,30036,29873,2000,2500,2040,2000,1037,2000,0,"No Default Next Month",0.83578,"FALSE",-10126.4
8766,100000,"Male","Graduate School","Single",27,2,0,0,0,0,17553,10628,5836,6746,7889,0,0,1000,2000,3323,0,0,1,"Defaults Next Month",0.062198,"FALSE",-95044.8
11987,250000,"Male","University","Married",39,0,0,0,0,0,20461,22813,24063,24886,26446,20301,3000,2000,1500,2000,2000,3000,0,"No Default Next Month",0.0948072,"FALSE",-228398.2
13449,200000,"Male","University","Married",57,-1,-1,-1,-1,-1,780,0,780,390,0,390,0,780,390,0,390,390,0,"No Default Next Month",0.00156,"FALSE",-200078
24276,420000,"Male","Graduate School","Married",32,0,0,0,0,0,60825,45060,25056,24751,24984,24983,1407,1407,1332,963,877,1000,0,"No Default Next Month",0.0689685714285714,"FALSE",-392149
11507,10000,"Male","University","Single",23,0,0,0,0,-2,2068,6000,6457,6177,0,0,4400,1000,500,0,0,0,0,"No Default Next Month",0.37268,"FALSE",-6573.2
8348,360000,"Male","Graduate School","Married",40,-1,-1,-2,-1,2,21489,40715,-34041,-34503,43013,11654,41088,2,38,85155,58,13652,0,"No Default Next Month",0.01491,"FALSE",-374413.4
11895,60000,"Male","University","Married",32,0,0,0,0,0,56228,56861,58152,58615,54338,55915,2147,4740,1926,2597,2638,2478,0,"No Default Next Month",0.94627,"FALSE",-6099.6
1185,460000,"Male","Graduate School","Single",29,0,0,0,0,0,410033,385394,325663,324067,324749,327929,16088,13039,11127,11017,11110,11113,0,"No Default Next Month",0.733826956521739,"FALSE",-133920.8
13336,100000,"Male","High School","Single",28,0,0,-1,-1,-1,103728,104908,65800,18300,33336,31558,3184,3000,18300,33336,984,63000,1,"Defaults Next Month",0.507804,"FALSE",-72943.6
14759,350000,"Male","Graduate School","Married",62,-1,-1,-1,-1,-1,83393,10237,14580,61024,86809,177816,10237,14580,61024,86809,177816,82610,0,"No Default Next Month",0.200266285714286,"FALSE",-364474.6
1472,20000,"Male","University","Single",21,0,2,0,0,-2,19277,20997,20200,20000,0,0,5000,0,0,0,0,0,1,"Defaults Next Month",0.61197,"FALSE",-7760.6
29784,90000,"Male","University","Married",30,2,0,0,0,2,45271,44247,45287,46332,49715,48788,0,2055,2100,4476,0,3800,0,"No Default Next Month",0.52082,"FALSE",-45612.4
9646,360000,"Male","Graduate School","Single",27,-1,-1,-1,0,0,759,5695,1390,8531,8531,-33,5702,1395,8531,0,0,0,0,"No Default Next Month",0.0133966666666667,"FALSE",-357162.4
20399,20000,"Male","University","Single",23,3,2,0,0,2,11859,11385,10916,12419,13904,13538,0,0,2000,2000,0,1400,1,"Defaults Next Month",0.62162,"FALSE",-8647.6
8438,50000,"Male","University","Married",56,2,0,0,0,0,32134,30391,10725,10541,10052,10400,0,1159,365,448,600,0,0,"No Default Next Month",0.288436,"FALSE",-36092.6
14966,50000,"Male","University","Single",34,0,0,0,-2,-2,50713,49402,44415,0,0,0,3000,1000,0,0,0,0,0,"No Default Next Month",0.375268,"FALSE",-31436.6
16489,100000,"Male","University","Single",33,0,3,2,0,0,35169,39581,38678,37453,38013,0,5328,0,0,760,0,0,0,"No Default Next Month",0.30745,"FALSE",-69407
12014,80000,"Male","University","Married",36,-1,0,0,0,0,9097,31091,34651,26569,20082,25535,31091,20000,5000,10000,10000,0,0,"No Default Next Month",0.34482,"FALSE",-61414.4
3522,140000,"Male","University","Married",37,-1,0,0,0,0,34661,5309,51293,56740,59455,57532,5334,50006,9460,9461,2507,10007,0,"No Default Next Month",0.329041428571429,"FALSE",-110222.4
14482,420000,"Male","Graduate School","Single",33,-1,-1,-2,-2,-2,-190,6509,0,0,0,0,6699,0,0,0,0,0,0,"No Default Next Month",0.00309952380952381,"FALSE",-418698.2
23948,190000,"Male","University","Single",29,0,0,0,0,0,185222,163336,157158,149423,115038,97756,5836,6358,5487,4038,3803,3042,0,"No Default Next Month",0.718643157894737,"FALSE",-58003.4
9533,200000,"Male","University","Married",34,-1,-1,-1,-1,0,170,1512,-15,1067,2176,3378,1525,0,1082,2179,2013,165,1,"Defaults Next Month",0.008118,"FALSE",-199464.2
24388,320000,"Male","Graduate School","Married",40,-1,-1,-1,-1,-1,8240,8240,8240,8240,15273,16106,8240,8240,8240,15273,16106,9690,0,"No Default Next Month",0.035061875,"FALSE",-320290
21217,140000,"Male","University","Single",36,0,0,0,0,0,123474,125565,120847,121040,107310,105958,4409,4505,4100,3800,4000,3900,1,"Defaults Next Month",0.8296,"FALSE",-27917
24001,50000,"Male","University","Single",23,2,0,0,0,0,51246,49758,48456,44116,21247,20066,8,2401,2254,2004,704,707,0,"No Default Next Month",0.734572,"FALSE",-14885.4
9529,50000,"Male","University","Single",53,0,0,0,0,0,50302,49440,49891,20503,20159,20268,2100,1793,700,731,735,616,0,"No Default Next Month",0.641044,"FALSE",-18862.8
11389,10000,"Male","High School","Single",41,2,2,0,0,2,3983,4764,5528,7420,8298,8019,1000,1000,2000,1000,0,1390,1,"Defaults Next Month",0.68058,"FALSE",-4272.2
13412,360000,"Male","Graduate School","Single",29,0,0,-2,-1,-1,229928,32890,-10,-10,2150,0,4905,0,0,2160,0,0,0,"No Default Next Month",0.0194555555555556,"FALSE",-353428
24409,620000,"Male","University","Married",42,0,0,0,0,0,75509,65572,59306,60479,61467,63159,3500,2500,2500,2300,3000,2500,0,"No Default Next Month",0.0999945161290323,"FALSE",-560563.4
27296,180000,"Male","Graduate School","Married",45,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,"Defaults Next Month",0,"FALSE",-180000
